player_id,name,position,team,month,weighted_total,approx_toi_min,raw_grit_per_60
8470600,Ryan Suter,D,DAL,2024-04,41.0,80.7,30.4667
8470600,Ryan Suter,D,DAL,2024-05,124.0,244.2,30.4667
8470600,Ryan Suter,D,DAL,2024-06,7.0,13.8,30.4667
8470610,Zach Parise,L,COL,2024-04,82.5,72.3,68.4624
8470610,Zach Parise,L,COL,2024-05,100.5,88.1,68.4624
8470613,Brent Burns,D,CAR,2024-04,52.0,114.8,27.1856
8470613,Brent Burns,D,CAR,2024-05,61.5,135.7,27.1856
8470621,Corey Perry,R,EDM,2024-04,42.5,57.9,44.0248
8470621,Corey Perry,R,EDM,2024-05,51.0,69.5,44.0248
8470621,Corey Perry,R,EDM,2024-06,56.5,77.0,44.0248
8470794,Joe Pavelski,C,DAL,2024-04,46.5,60.6,46.0303
8470794,Joe Pavelski,C,DAL,2024-05,192.5,250.9,46.0303
8470794,Joe Pavelski,C,DAL,2024-06,19.0,24.8,46.0303
8471214,Alex Ovechkin,L,WSH,2024-04,43.5,78.3,33.3121
8471218,Blake Wheeler,R,NYR,2024-05,20.0,9.3,129.0323
8471677,Jack Johnson,D,COL,2024-04,63.0,78.9,47.9077
8471677,Jack Johnson,D,COL,2024-05,59.5,74.5,47.9077
8471685,Anze Kopitar,C,LAK,2024-04,94.0,75.3,74.9475
8471685,Anze Kopitar,C,LAK,2024-05,31.0,24.8,74.9475
8471698,T.J. Oshie,R,WSH,2024-04,60.0,74.3,48.4653
8471699,Andrew Cogliano,C,COL,2024-04,30.0,50.4,35.7143
8471699,Andrew Cogliano,C,COL,2024-05,26.5,44.5,35.7143
8471817,Ryan Reaves,R,TOR,2024-04,85.5,39.4,130.3685
8473419,Brad Marchand,L,BOS,2024-04,108.5,106.8,60.9622
8473419,Brad Marchand,L,BOS,2024-05,95.5,94.0,60.9622
8473449,Kyle Okposo,R,FLA,2024-04,34.5,20.2,102.3032
8473449,Kyle Okposo,R,FLA,2024-05,96.0,56.3,102.3032
8473449,Kyle Okposo,R,FLA,2024-06,117.5,68.9,102.3032
8473453,Trevor Lewis,C,LAK,2024-04,60.5,43.6,83.2075
8473453,Trevor Lewis,C,LAK,2024-05,13.0,9.4,83.2075
8473504,Cal Clutterbuck,R,NYI,2024-04,63.5,45.4,83.8653
8473533,Jordan Staal,C,CAR,2024-04,152.5,83.2,110.0136
8473533,Jordan Staal,C,CAR,2024-05,183.5,100.1,110.0136
8473575,Semyon Varlamov,G,NYI,2024-04,-7.5,0.0,0.0
8473994,Jamie Benn,L,DAL,2024-04,91.0,73.5,74.2789
8473994,Jamie Benn,L,DAL,2024-05,296.0,239.1,74.2789
8473994,Jamie Benn,L,DAL,2024-06,16.0,12.9,74.2789
8474013,Ian Cole,D,VAN,2024-04,64.0,76.3,50.3591
8474013,Ian Cole,D,VAN,2024-05,119.5,142.4,50.3591
8474031,Kevin Shattenkirk,D,BOS,2024-04,40.0,60.3,39.7837
8474031,Kevin Shattenkirk,D,BOS,2024-05,11.5,17.3,39.7837
8474034,Patrick Maroon,L,BOS,2024-04,73.5,63.6,69.353
8474034,Patrick Maroon,L,BOS,2024-05,70.5,61.0,69.353
8474037,James van Riemsdyk,L,BOS,2024-04,22.5,21.4,63.0505
8474037,James van Riemsdyk,L,BOS,2024-05,113.5,108.0,63.0505
8474145,Robert Bortuzzo,D,NYI,2024-04,79.0,67.8,69.9115
8474149,Evgenii Dadonov,R,DAL,2024-04,27.0,33.5,48.4147
8474149,Evgenii Dadonov,R,DAL,2024-05,166.0,205.7,48.4147
8474149,Evgenii Dadonov,R,DAL,2024-06,5.0,6.2,48.4147
8474151,Ryan McDonagh,D,NSH,2024-04,94.0,129.0,43.7067
8474151,Ryan McDonagh,D,NSH,2024-05,10.0,13.7,43.7067
8474157,Max Pacioretty,L,WSH,2024-04,35.0,58.2,36.0515
8474166,Alec Martinez,D,VGK,2024-04,51.5,59.1,52.2617
8474166,Alec Martinez,D,VGK,2024-05,36.5,41.9,52.2617
8474563,Drew Doughty,D,LAK,2024-04,82.5,97.5,50.7692
8474563,Drew Doughty,D,LAK,2024-05,33.0,39.0,50.7692
8474564,Steven Stamkos,C,TBL,2024-04,136.0,100.4,81.2587
8474565,Alex Pietrangelo,D,VGK,2024-04,73.0,92.0,47.6336
8474565,Alex Pietrangelo,D,VGK,2024-05,56.5,71.2,47.6336
8474568,Luke Schenn,D,NSH,2024-04,55.5,56.9,58.5426
8474568,Luke Schenn,D,NSH,2024-05,16.0,16.4,58.5426
8474574,Tyler Myers,D,VAN,2024-04,84.5,78.6,64.5092
8474574,Tyler Myers,D,VAN,2024-05,167.0,155.3,64.5092
8474590,John Carlson,D,WSH,2024-04,49.5,116.8,25.4346
8474600,Roman Josi,D,NSH,2024-04,70.0,143.1,29.3451
8474600,Roman Josi,D,NSH,2024-05,5.5,11.2,29.3451
8474641,Adam Henrique,C,EDM,2024-04,88.5,67.6,78.5589
8474641,Adam Henrique,C,EDM,2024-05,70.0,53.5,78.5589
8474641,Adam Henrique,C,EDM,2024-06,155.5,118.8,78.5589
8474673,TJ Brodie,D,TOR,2024-04,20.5,17.2,71.6366
8474679,Gustav Nyquist,C,NSH,2024-04,58.5,90.9,38.5956
8474679,Gustav Nyquist,C,NSH,2024-05,19.0,29.5,38.5956
8474709,Matt Martin,L,NYI,2024-04,57.0,28.7,119.2885
8475151,Kyle Palmieri,C,NYI,2024-04,58.0,98.4,35.3766
8475158,Ryan O'Reilly,C,NSH,2024-04,68.0,98.8,41.2875
8475158,Ryan O'Reilly,C,NSH,2024-05,25.0,36.3,41.2875
8475166,John Tavares,C,TOR,2024-04,167.5,88.3,113.7931
8475166,John Tavares,C,TOR,2024-05,85.5,45.1,113.7931
8475167,Victor Hedman,D,TBL,2024-04,81.0,128.8,37.7476
8475168,Matt Duchene,C,DAL,2024-04,63.5,70.1,54.3532
8475168,Matt Duchene,C,DAL,2024-05,218.5,241.2,54.3532
8475168,Matt Duchene,C,DAL,2024-06,13.5,14.9,54.3532
8475169,Evander Kane,L,EDM,2024-04,84.5,75.1,67.507
8475169,Evander Kane,L,EDM,2024-05,221.0,196.4,67.507
8475169,Evander Kane,L,EDM,2024-06,31.0,27.6,67.507
8475171,Oliver Ekman-Larsson,D,FLA,2024-04,96.5,95.0,60.9552
8475171,Oliver Ekman-Larsson,D,FLA,2024-05,152.0,149.6,60.9552
8475171,Oliver Ekman-Larsson,D,FLA,2024-06,128.0,126.0,60.9552
8475177,Calvin de Haan,D,TBL,2024-04,9.0,10.8,49.8615
8475179,Dmitry Kulikov,D,FLA,2024-04,89.5,78.8,68.1777
8475179,Dmitry Kulikov,D,FLA,2024-05,188.5,165.9,68.1777
8475179,Dmitry Kulikov,D,FLA,2024-06,101.5,89.3,68.1777
8475184,Chris Kreider,L,NYR,2024-04,70.0,76.4,55.0043
8475184,Chris Kreider,L,NYR,2024-05,210.5,229.6,55.0043
8475184,Chris Kreider,L,NYR,2024-06,10.5,11.5,55.0043
8475188,Brayden McNabb,D,VGK,2024-04,89.5,82.2,65.3445
8475188,Brayden McNabb,D,VGK,2024-05,72.5,66.6,65.3445
8475197,Tyson Barrie,D,NSH,2024-04,1.5,17.7,5.0847
8475200,Dmitry Orlov,D,CAR,2024-04,89.5,109.4,49.0949
8475200,Dmitry Orlov,D,CAR,2024-05,99.0,121.0,49.0949
8475218,Mattias Ekholm,D,EDM,2024-04,59.5,90.6,39.3953
8475218,Mattias Ekholm,D,EDM,2024-05,173.5,264.2,39.3953
8475218,Mattias Ekholm,D,EDM,2024-06,127.5,194.2,39.3953
8475225,Craig Smith,C,DAL,2024-04,14.5,15.4,56.6722
8475225,Craig Smith,C,DAL,2024-05,134.0,141.9,56.6722
8475231,Casey Cizikas,C,NYI,2024-04,80.0,79.7,60.2258
8475314,Anders Lee,L,NYI,2024-04,76.5,81.2,56.541
8475324,Nick Jensen,D,WSH,2024-04,6.5,21.1,18.5273
8475343,Nic Dowd,C,WSH,2024-04,155.5,55.8,167.2043
8475455,Brenden Dillon,D,WPG,2024-04,95.0,63.2,90.1613
8475660,Cam Talbot,G,LAK,2024-04,9.0,0.0,0.0
8475683,Sergei Bobrovsky,G,FLA,2024-04,-4.0,0.0,0.0
8475683,Sergei Bobrovsky,G,FLA,2024-05,-9.0,0.0,0.0
8475683,Sergei Bobrovsky,G,FLA,2024-06,-12.0,0.0,0.0
8475690,Chris Tanev,D,DAL,2024-04,109.5,91.7,71.609
