player_id,name,position,team,month,weighted_total,approx_toi_min,raw_grit_per_60
8464989,Matt Cullen,C,PIT,2019-04,41.5,44.8,55.5804
8465009,Zdeno Chara,D,BOS,2019-04,149.0,195.4,45.7408
8465009,Zdeno Chara,D,BOS,2019-05,146.5,192.2,45.7408
8465009,Zdeno Chara,D,BOS,2019-06,81.0,106.3,45.7408
8466138,Joe Thornton,C,SJS,2019-04,80.5,144.6,33.3994
8466138,Joe Thornton,C,SJS,2019-05,88.0,158.1,33.3994
8466139,Patrick Marleau,C,TOR,2019-04,76.0,102.7,44.4228
8468493,Ron Hainsey,D,TOR,2019-04,79.5,142.7,33.4197
8468498,Brooks Orpik,D,WSH,2019-04,138.5,127.4,65.2174
8468508,Justin Williams,R,CAR,2019-04,128.5,160.8,47.9568
8468508,Justin Williams,R,CAR,2019-05,89.0,111.4,47.9568
8468674,Deryk Engelland,D,VGK,2019-04,162.0,163.2,59.5406
8469455,Jason Spezza,C,DAL,2019-04,42.5,70.1,36.39
8469455,Jason Spezza,C,DAL,2019-05,24.5,40.4,36.39
8469465,Dan Hamhuis,D,NSH,2019-04,89.5,80.9,66.3782
8469608,Mike Smith,G,CGY,2019-04,-9.5,0.0,0.0
8470047,Valtteri Filppula,C,NYI,2019-04,90.5,96.4,56.3153
8470047,Valtteri Filppula,C,NYI,2019-05,20.0,21.3,56.3153
8470147,Curtis McElhinney,G,CAR,2019-04,-2.5,0.0,0.0
8470147,Curtis McElhinney,G,CAR,2019-05,-5.0,0.0,0.0
8470151,Jay Bouwmeester,D,STL,2019-04,105.0,210.0,30.0064
8470151,Jay Bouwmeester,D,STL,2019-05,117.5,235.0,30.0064
8470151,Jay Bouwmeester,D,STL,2019-06,83.0,166.0,30.0064
8470187,Johnny Boychuk,D,NYI,2019-04,54.0,65.0,49.8078
8470257,Alexander Steen,L,STL,2019-04,85.5,121.8,42.1271
8470257,Alexander Steen,L,STL,2019-05,91.5,130.3,42.1271
8470257,Alexander Steen,L,STL,2019-06,67.0,95.4,42.1271
8470594,Marc-Andre Fleury,G,VGK,2019-04,3.5,0.0,0.0
8470601,Braydon Coburn,D,TBL,2019-04,19.0,34.2,33.2847
8470613,Brent Burns,D,SJS,2019-04,201.0,329.6,36.5912
8470613,Brent Burns,D,SJS,2019-05,145.5,238.6,36.5912
8470619,Brian Boyle,C,NSH,2019-04,34.5,38.0,54.5024
8470638,Patrice Bergeron,C,BOS,2019-04,187.0,197.5,56.7992
8470638,Patrice Bergeron,C,BOS,2019-05,165.5,174.8,56.7992
8470638,Patrice Bergeron,C,BOS,2019-06,72.5,76.6,56.7992
8470655,David Backes,R,BOS,2019-04,61.5,37.3,98.9169
8470655,David Backes,R,BOS,2019-05,142.5,86.4,98.9169
8470655,David Backes,R,BOS,2019-06,36.5,22.1,98.9169
8470794,Joe Pavelski,C,SJS,2019-04,161.5,162.8,59.5233
8470794,Joe Pavelski,C,SJS,2019-05,92.0,92.7,59.5233
8470834,Dustin Byfuglien,D,WPG,2019-04,76.5,154.1,29.782
8470966,Mark Giordano,D,CGY,2019-04,101.0,131.8,45.9683
8471214,Alex Ovechkin,L,WSH,2019-04,153.5,152.7,60.3222
8471215,Evgeni Malkin,C,PIT,2019-04,71.0,74.8,56.929
8471218,Blake Wheeler,R,WPG,2019-04,73.0,121.1,36.1744
8471228,Alexander Radulov,R,DAL,2019-04,143.5,192.0,44.8365
8471228,Alexander Radulov,R,DAL,2019-05,45.0,60.2,44.8365
8471260,Blake Comeau,L,DAL,2019-04,166.0,157.8,63.1282
8471260,Blake Comeau,L,DAL,2019-05,58.0,55.1,63.1282
8471262,Carl Soderberg,C,COL,2019-04,100.0,127.2,47.1791
8471262,Carl Soderberg,C,COL,2019-05,51.5,65.5,47.1791
8471273,Brandon Dubinsky,C,CBJ,2019-04,201.0,103.6,116.4493
8471273,Brandon Dubinsky,C,CBJ,2019-05,53.5,27.6,116.4493
8471276,David Krejci,C,BOS,2019-04,123.0,188.6,39.1221
8471276,David Krejci,C,BOS,2019-05,76.5,117.3,39.1221
8471276,David Krejci,C,BOS,2019-06,65.5,100.5,39.1221
8471306,Thomas Greiss,G,NYI,2019-05,-2.5,0.0,0.0
8471339,Ryan Callahan,R,TBL,2019-04,48.0,20.2,142.2222
8471392,Roman Polak,D,DAL,2019-04,178.0,178.9,59.6874
8471392,Roman Polak,D,DAL,2019-05,74.0,74.4,59.6874
8471418,Anton Khudobin,G,DAL,2019-05,-2.5,0.0,0.0
8471469,Pekka Rinne,G,NSH,2019-04,-12.5,0.0,0.0
8471669,Paul Stastny,C,VGK,2019-04,156.5,141.0,66.5863
8471675,Sidney Crosby,C,PIT,2019-04,71.5,89.6,47.8955
8471677,Jack Johnson,D,PIT,2019-04,66.5,46.0,86.645
8471695,Tuukka Rask,G,BOS,2019-04,-10.0,0.0,0.0
8471695,Tuukka Rask,G,BOS,2019-05,17.0,0.0,0.0
8471695,Tuukka Rask,G,BOS,2019-06,5.5,0.0,0.0
8471698,T.J. Oshie,R,WSH,2019-04,104.0,72.6,85.9149
8471699,Andrew Cogliano,C,DAL,2019-04,49.5,116.2,25.5663
8471699,Andrew Cogliano,C,DAL,2019-05,29.5,69.2,25.5663
8471702,Matt Niskanen,D,WSH,2019-04,155.0,173.1,53.7169
8471707,James Neal,L,CGY,2019-04,50.5,55.2,54.8615
8471709,Marc-Edouard Vlasic,D,SJS,2019-04,87.5,162.7,32.2718
8471709,Marc-Edouard Vlasic,D,SJS,2019-05,140.5,261.2,32.2718
8471724,Kris Letang,D,PIT,2019-04,80.5,108.2,44.6313
8471750,Ben Bishop,G,DAL,2019-04,6.0,0.0,0.0
8471750,Ben Bishop,G,DAL,2019-05,3.5,0.0,0.0
8471817,Ryan Reaves,R,VGK,2019-04,167.0,61.3,163.5384
8471887,Patric Hornqvist,R,PIT,2019-04,74.0,57.4,77.4194
8471958,Dan Girardi,D,TBL,2019-04,57.5,69.2,49.8411
8473412,Bryan Little,C,WPG,2019-04,61.0,96.9,37.7826
8473419,Brad Marchand,C,BOS,2019-04,84.0,198.7,25.3615
8473419,Brad Marchand,C,BOS,2019-05,71.5,169.2,25.3615
8473419,Brad Marchand,C,BOS,2019-06,50.0,118.3,25.3615
8473422,Nick Foligno,L,CBJ,2019-04,149.0,121.8,73.3753
8473422,Nick Foligno,L,CBJ,2019-05,78.5,64.2,73.3753
8473446,Erik Johnson,D,COL,2019-04,158.5,149.1,63.7994
8473446,Erik Johnson,D,COL,2019-05,87.0,81.8,63.7994
8473463,Leo Komarov,C,NYI,2019-04,119.5,82.1,87.3232
8473463,Leo Komarov,C,NYI,2019-05,41.0,28.2,87.3232
8473504,Cal Clutterbuck,R,NYI,2019-04,126.5,91.8,82.6501
8473504,Cal Clutterbuck,R,NYI,2019-05,18.0,13.1,82.6501
8473533,Jordan Staal,C,CAR,2019-04,313.5,192.8,97.5786
8473533,Jordan Staal,C,CAR,2019-05,158.0,97.2,97.5786
8473544,Derick Brassard,C,COL,2019-04,53.0,52.2,60.9481
8473544,Derick Brassard,C,COL,2019-05,41.5,40.9,60.9481
8473548,Phil Kessel,C,PIT,2019-04,19.0,73.9,15.4304
8473563,Nicklas Backstrom,C,WSH,2019-04,156.0,146.7,63.8037
